num,yado,yomi,seikaku,tekisyoku,okane,kenkou,renai,kaiunn,sub_seikaku,sub_tekisyoku,sub_okane,sub_kenkou,sub_renai,sub_kaiunn
1,角宿,かくしゅく,外見はオシャレ上手で華やかさを持っている人です。そして、内面は永遠に純粋な少女の心を持ち続けます。「角」の字は、かど、すみ、つの　といった、緻密で頭の回転が早いことを意味します。神経質な面が出すぎたり、感じたりすると、厳しく叱りつけるなど、あれやこれやうるさく言いすぎる面があるようです。しかし、楽しい事が大好きで趣味も豊富、手先も器用な持ち主。目上の人から可愛がられ、年下には慕われる人気運があります。持って生まれた器用な面を活かしながら、エネルギッシュに行動しましょう。そして、何かの技を磨くことで運が開けていくタイプです。,奉仕の精神があり、与えられた仕事を勤勉にこなす実務能力に長けています。また、社交的な美的センスとバランス感覚があるので、交渉を必要とする分野の仕事に向いています。「ビジネス運」を持つあなたは、美的感覚が優れているので、ファッション業界・美容業界・芸術分野に適性があります。そつのない社交性を活かし、外交分野・司法関係・娯楽関係も吉。,遊び好きなあなたですが、持ち前の財運のおかげで、散財に明け暮れることはめったにありません。しかし、お金が入るなり使ってしまうだけでは運気もダウンしがち。また、社交的ですが、見た目で人や物事を判断してしまう傾向があるので、フラットな考えをもつ人物との交流がふさわしいです。そうすると、相手の考えが尊重でき試練も乗り越えながら、さらなる金運アップが望めるでしょう。,頭や顔にまつわるケガに注意。風邪や肝臓機能の低下など、免疫力不足が引き起こす病気には用心。気疲れからくる神経性胃腸炎・自律神経失調症・ストレス発散の過食が肥満体質になって生活習慣病を招くことにも。また、腰痛に悩まされる事もあります。,洗練された立ち居振る舞いを身につけているあなたは、自分の魅力を理解しているので、気のある異性の心をさりげない素振りで引き付けることができます。そして駆け引きも上手です。しかし、ムードや誘惑に弱く「楽しくなければ恋愛じゃない」と、次から次へと相手を変えて、表面的な関係しか築けないことも。見返りを求めず相手のために尽くすことを心がけて。そうすれば何倍にもなって愛の恩恵が返ってくるでしょう。また、あなたが間違った方向に進んだとき、きちんと叱ってくれる相手を選びましょう。,美容と健康に目を向けること。そして、持ち前のあたたかく包み込む大らかさをアピールしましょう。自分の存在価値を意識して、美と健康を探求する心を持つと、人生の価値観が見いだせるはず。そして、周囲を明るく照らすムードメーカーに徹すると、いつしかあなたをバックアップしてくれる人があらわれます。その結果、運が大きく開花していくことでしょう。,外見はオシャレ上手で華やかさを,奉仕の精神があり、与えられた仕,遊び好きなあなたですが、持ち前,頭や顔にまつわるケガに注意。風,洗練された立ち居振る舞いを身に,美容と健康に目を向けること。そ
2,亢宿,こうしゅく,正義感が強く、主義を押し通す強情さと共に、軽やかな立ち振る舞いで都会的センスが光る社交的な人です。そして、「亢」の字は、あらがう　という意味も込め、権威や権力に抵抗する、反骨精神の旺盛さを表しています。表向きは清廉潔白で品行方正に見えますが、内面は過剰な虚栄心と気取り屋な一面も。しかし、真面目で不正な事が大嫌いな面が強く、公平な判断力と抜群のバランス感覚に長けています。また、統括力とリーダー的資質があり、得意とする調整能力を発揮しながら、人間関係の幅を広げていくことができるでしょう。,バランス感覚に長け社交的なので、人と人の架け橋になる役割があります。交渉を必要とする仕事、自分のセンスを活かしながら美と調和を作り出す分野が向いています。モチベーションも高く、強い「統領運」をもつあなたは、警察関係・裁判官・芸術分野・ジャーナリストに適性があります。その他に、金融関係・経理関係も吉。,金銭面に関しても、抜群の調整力を発揮します。支出入もきちんとおこない金銭の貸し借りにも縁がありません。そしてギャンブルに対してもリスクの高さが気になって、たとえ手を出しても本気にはなりにくいでしょう。ただ、財運は割りとあるのに、活用方法がパターン化しているためお金の運用に長けた人物と交流するのが得策。そうすると、バリエーションが増えて効率的にお金を殖やすことができるでしょう。,免疫力が弱く細菌やウイルスへの耐性があまりないことから、風邪・肝機能・心臓・肺疾患・喘息など呼吸器系に注意しましょう。また、しつこい腰痛や痔、大腸の病気が発症することも。お酒の飲みすぎは体のためになりませんので要注意です。,あなたは、優雅でスマートな恋愛を好む傾向があります。情熱的な恋愛をしたい願望はあるのに、世間体を気にしてしまうことが多いようです。社交的で洗練されたセンスがあり、絶妙なバランス感覚のあなたは、人と人を引き合わせることが得意なので、恋のキューピッド役になることも多いはず。ドロドロした関係や情欲的な恋愛は無縁です。パッションを全面に出して、本命の相手には、本心を打ち明ける勇気をもちましょう。,人と人をつなぐ役に徹すること。そうすることで、あなたの周りには多くの人が集まり、社会的地位も上昇するはず。また、統括的な資質のパワーをポジティブに活用することが秘訣。そのことで、友好的で平和主義の考えが活きてきて、運気上昇の人生に。そして、魅せることを意識してセンスの良さを磨くと、幸運の扉が開かれていくでしょう。,正義感が強く、主義を押し通す強,バランス感覚に長け社交的なので,金銭面に関しても、抜群の調整力,免疫力が弱く細菌やウイルスへの,あなたは、優雅でスマートな恋愛,人と人をつなぐ役に徹すること。
3,氐宿,ていしゅく,表面は穏やかでソフトに見えますが、粘り強さと勝負強さで一旦決めた事はどんな逆境にあっても邁進していく人です。そして、「氐」の字から連想するように、底力があり、バイタリティーに富み、精神的にも肉体的にもエネルギッシュで豪快さがあります。強がりで一本気、そして人情味のある性格なので、相手が裏切る行動をとると、復讐心に燃え執念深いところも。押しが強くハッタリも、利かすけれど、どこか憎めない愛嬌が魅力的でもあります。また、先見の明もあり、野望が強く、決断後の行動はズバ抜けて早いので、必ずや目標を達成するでしょう。,流行と人々のニーズを敏感にキャッチして、美と調和を作り出す感覚に優れています。また、本物志向の審美眼を持ち、各分野のエキスパートになる力が備わっています。「人気運」を持つあなたは、人付き合いのセンスに長け、人脈作りも抜群な能力を発揮するので、ファッション業界・芸術分野・マスコミ業界に適性があります。その他に、外交官・裁判官も吉。,バランス感覚の優れたあなたですが、お金のこととなると、気性の激しさが極端にあらわれます。特にギャンブルとなると、目の色が変わる傾向が。勝負運に恵まれ、引き時もわかっているので、慢心に注意しながら一歩引けるようになれば運気はさらにアップ。他人の意見や批判に耳を貸さないときがあるので、高い地位に就いている人物との交流が幸運のカギ。相手を尊重し、寛容さを身につければ、持っている運が磨かれ金運上昇に繋がります。,身体の強さを過信するあまり、無理してしまうので油断は禁物です。お腹の病気全般として、下痢・便秘・胃潰瘍など、また、血液循環系の心臓病・脳溢血には充分に気をつけましょう。暴飲暴食が肥満症・糖尿病といった引き金にも。女性の場合は、婦人科系の病気になりやすい傾向が。,恋愛に対してとても情熱的なあなたは、ひとたび誰かを愛したらどこまでも一生かけて愛を貫こうとする傾向があります。愛の欲望が強く情熱的なので、一体感を求めるあまり、相手を精神的にも肉体的にも束縛する傾向も。安定よりも刺激を求めるタイプなので、リスキーな恋愛に発展しやすいでしょう。心から尊敬できる相手を選ぶこと。また、一方的に思いを募らせたり、相手を追い込んでしまっては、悲恋を味わうことになるので要注意。,持ち前の交渉術に磨きをかけること。他人の意見に耳を傾け、備わっている能力を高めて審美眼を使いこなしましょう。包括的な視点で相手を尊重すれば、ビジネスセンスに磨きがかかり嬉しいことが目白押しに。そのひとつに、多くの人望を集める確率が高くなり、目上からは引き立てられ、目下からは頼りがいのある存在に。謙虚な心が幸運のカギとなるでしょう。,表面は穏やかでソフトに見えます,流行と人々のニーズを敏感にキャ,バランス感覚の優れたあなたです,身体の強さを過信するあまり、無,恋愛に対してとても情熱的なあな,持ち前の交渉術に磨きをかけるこ
4,房宿,ぼうしゅく,情感豊かな探求心と洞察力があり、どことなく高貴な気品が漂う人です。そして、「房」の字から連想する人体の「心房」の部屋のように、むやみに心を開かない無口な人が多く、奥深い面があります。一つの事に熱中する、研究心旺盛の活力に満ちていますが、用心深いので冒険することは好みません。また猜疑心が強く、なかなか人を信用しない傾向が。相手を観察し、分析したり、まるで心のセンサーが働くかのように敏感に察知して、相手の胸の内を読み取る事が得意です。物事を見抜く直感力と判断力の的確さに長けているので、目的を決めたら、最後までやり抜く行動力があるでしょう。,緻密な観察力を持ち、抜群の集中力で物事に取り組む能力が備わっています。蠍宮は復活と再生を意味することから、古いものから新しいものへと刷新する役割があり、また、旺盛な探求心で本物を見抜く力を活かせる分野が向いています。「財運」に恵まれ、お金に縁があるあなたは、銀行・証券関係・金融関係に適性があります。その他に、医療関係、検察、警察も吉。,強い金運の持ち主であるあなたは、小さい頃からあまりお金に苦労せず恵まれた環境で育っている人が多いでしょう。もし、突如、立ちはだかる苦難があった時には、人生の壁に対して受けるショックが人より並みはずれて大きくなってしまうかも。しかし、あなたには、それを乗り越えるだけの忍耐力が備わっていることを忘れないで。苦労人で情報収集に長けた人物と交流すると、前に進む術が身について、さらなる金運力がアップするでしょう。,腱鞘炎など「ひじ」に関わる病気に気をつけて。健康面はあまり強くないので健康診断は定期的に。女性の場合は婦人科系の病気などに注意。些細なことでもストレスが溜まりやすいので、肝機能・腎臓病・胃腸病・高血圧・糖尿病など成人病に注意が必要。お酒の飲み過ぎは運気をさげるのでほどほどに。,ミステリアスで妖艶な魅力のあなたは、フェロモン度も高いので何もしなくても異性の関心を集めるでしょう。豊かな情緒性と洞察力があるので、人の心を読み取ろうとします。要注意は一線を越えた途端に執着心が増し、嫉妬深くなる傾向が。熱烈な愛情表現を抑え、感情をコントロールすること。執念深くなったり、疑惑を抱いたりでは、余計な不信感が増すばかりなので注意しましょう。,考えすぎで動きが止まらないように。インスピレーションに従って情報収集しながら、必要なものを選択しましょう。そうすれば、不要と必要を振り分けるスベが身につき、スピードアップに。知識のブラッシュアップや高度なスキル、ライセンスの取得など自分の才能発掘のための投資を実行してみては。また、趣味も価値観も異なる人たちとの交流が、あなたの輝かしい未来をきり拓くきっかけとなるでしょう。,情感豊かな探求心と洞察力があり,緻密な観察力を持ち、抜群の集中,強い金運の持ち主であるあなたは,腱鞘炎など「ひじ」に関わる病気,ミステリアスで妖艶な魅力のあな,考えすぎで動きが止まらないよう
5,心宿,しんしゅく,表むきは気さくでチャーミング、周りを明るくするムードがあり、神秘的な魅力に包まれている人です。そして、「心」の字が示すように、人の心の内側や物事の内面を見通す洞察力と、情報通の面を持ち合わせています。反面、心の内を明かさない秘密主義なところがあり猜疑心が強く、なかなか人を信用できない傾向も。しかし、人の心の動きを敏感に察知して、状況をうかがいながら対応する天性のタレント性を秘めているので、無意識の内に演技力を発揮します。また、好奇心旺盛で、頭の回転は速く、周りを楽しくする雰囲気を持っているので、自然と周囲に人が集まってくるでしょう。,並外れた集中力で物事に取り組み、エキスパートになる力が備わっています。すたれたものを、新しいものへと再生するような役割があります。持ち前のプロ意識を活かしながら、洞察力が必要な分野の仕事に適しています。「人気運」を持つあなたは、愛嬌豊かで、人の心を掴むのがとても得意なので対面業種の、接客・販売・営業・カウンセラーに適性があります。真髄を見抜く力を活かして、研究や開発部門・企画関連・美術・音楽・演劇・神経科分野の医師も吉。,自分の関わる物事に敏感なあなたは、お金の工面や遣り繰りなど、その場に合わせた創意工夫が得意です。しかし、もっと粘ればもっと増やせるのではないかと、欲深さが出てしまう面があるので注意が必要。とはいっても、金銭面の様々なトラブルやピンチでも、蘇りがはかれる程の逆境運に恵まれています。ただ、一攫千金に走ってしまいがちなので、お金を稼ぐことより、殖やす方法に長けた人物との交流で、手堅く貯蓄ができるでしょう。,腱鞘炎など「ひじ」に関係する病気に注意。また、膀胱炎など泌尿器の疾患として現れることも。女性の場合は、婦人科系ホルモンバランスの乱れや、子宮器官系の病気に気をつけて。免疫力は強いものの、心のストレスからくる病気に弱いので精神的なバランスを心がけて。,神秘的なイメージを醸しだしているあなたは、相手の好みに合わせて自分の魅力を変幻自在に操ることが得意です。愛する人と深い絆を結びたいという欲望が強いので、遊びの恋愛には興味がないでしょう。ただ、その一途な愛情も、ときに激しい思い込みにすり替わってしまう危険性があります。愚痴や不満、猜疑心を取り払って、限りない愛を注ぐこと。それによって、女らしさに磨きがかかり幸せを手にすることができるでしょう。,未知なることにも大胆に踏み込むこと。外ではとても明るく振舞い、内では何故か陰鬱な気分になってふさぎ込むことも。ピンチやアクシデントに遭遇しても、決して諦めることなく起死回生を図ることができる運を持っているので、物事をポジティブに捉えて、大きな転機と飛躍の波に乗りましょう。そして、興味の湧いたことにトライし、深めていけば間違いなく、運気アップのよび水をさそうことに。,表むきは気さくでチャーミング、,並外れた集中力で物事に取り組み,自分の関わる物事に敏感なあなた,腱鞘炎など「ひじ」に関係する病,神秘的なイメージを醸しだしてい,未知なることにも大胆に踏み込む
6,尾宿,びしゅく,精神性がとても高くどこか堂々として、今の時代には珍しいぐらい昔堅気の職人や名人に多くみられる古風なタイプの人です。そして、「尾」の字からは、体感を通った尾っぽが連想され、心の根っこのように迷わず直進します。まわりに惑わされることなく猪突猛進の力を発揮しますが、自分の信念に忠実なので、要領よく立ち回ったり、妥協したりするのは苦手かも。 しかし目的達成のためなら努力を惜しまず、冒険心を持ち、競争心、闘争心も旺盛です。また、自分を信じ、どんなに厳しい状況であっても、驚くべき集中力と粘り強さで難なく乗り越え、やり遂げます。,綿密な計画を練り、旺盛な知識欲と行動力が必要とされる分野に向いています。実直で正直な姿勢は、あなたの持つ「名声運」にもつながり、学術や語学系の職種である、司法・法律関係・IT関連・出版業界・マスコミ業界・通訳・貿易関係に適性があります。また、海外に関連した職業も吉。,実直で楽観的なあなたは、集中力や競争心といった精神的能力もバランスよく持ち合わせているので、財運をつかむ運にも恵まれています。 しかしお金へのこだわりそのものが薄いようです。 それゆえ、自らの足場を固める準備として一部は貯蓄するなどの心がけが大切。何事にも研究熱心なあなたですが、既成の概念にとらわれがちなので先駆者的なバイオニア精神旺盛な人物と交流を。そうすることで、持っている財力もさらにパワフルになるでしょう。,精神力もありエネルギーに満ちあふれているので病気を寄せつけにくい丈夫な身体の持ち主。しかし、無理をしやすく、気がつくと重症になっているというケースも。脳溢血・脳血栓など脳に関わる疾患や、生活習慣病・高血圧からくる糖尿病・肺機能・肝機能障害などに注意が必要です。,エネルギッシュで行動的なあなたは、リスクの高い恋ほど燃え上がる傾向が強く、わき目もふらず、好きな相手に向かってまっしぐらに突き進んでいくタイプです。しかし、何かを強制されたり束縛されたりすると、一気に熱が冷めてしまうことも。情熱の赴くまま奔放な恋に身を投じたり、見切り発車な行動にでることも。 あまりの暴走では恋の成就は望めないでしょう。 それゆえ、押したり引いたりといった、恋の駆け引きを身につけることが大事かも。,独立精神を持つこと。何かを追いかけ、探求することが得意なので、既成の概念にとらわれず、留学、独立など人生の岐路となる決定を下すのも吉。何事も自信を持って挑みながら、自分自身の一番好きなことに熱中することができれば、周囲の信頼と評価を上げることができます。 異国の文化と触れ合うことで成功の糸口もつかめるはず。自分の直感を信じて邁進すれば、思った以上のチャンスに恵まれ、さらなる幸運を引き寄せることでしょう。,精神性がとても高くどこか堂々と,綿密な計画を練り、旺盛な知識欲,実直で楽観的なあなたは、集中力,精神力もありエネルギーに満ちあ,エネルギッシュで行動的なあなた,独立精神を持つこと。何かを追い
7,箕宿,きしゅく,何事も徹底主義でドラスティックな感性を持ち、競争心、闘争心が旺盛。そして、「箕」の字が示すように、竹を割ったような気質で、細かいことにこだわらず、何事も大らかで、エネルギッシュな人です。好きや嫌いが、正直なので「大好き！」と思う気持ちは必ず表情に出てしまいます。刺激を求めて、いろいろなコトにチャレンジしますが、手を広げすぎて収拾がつかなくなることも。しかし、何より行動の自由を奪われたり、拘束されたりすることを嫌がるので、のびのびと自由奔放に生きることを美徳としています。また、大局的な考えが得意で、自らを磨き学ぶことや上昇思考が強いので目標を決めれば、一心不乱に突進し必ず夢を実現させて行くでしょう。,国境や世代を超えて外へ飛び出して活躍する役割があります。知識を必要とする仕事、人生の意味や喜びを探求するような精神性の深い仕事に適しています。寛大で商才に恵まれているあなたは、良きパートナーに恵まれる「独立運」の持ち主です。ポジティブで勢いのあるリーダー気質と親分肌の特性を活かし、起業して会社を持ったり、独立採算制の仕事につけばスケールの大きな活躍が期待できるでしょう。マスコミ業界・出版関係・旅行関係・プロデュース業・マネージメント業に適性があります。,お金に関しても楽観的なあなたは、　困難にあってもひるむことなく、経済的に困窮した場合のほうが意欲を燃やします。ただ、稼ぎ方も使い方も豪快で、さらに人一倍気風の良さがあるので、大盤振る舞いで人におごったり、ギャンブルにうつつを抜かすのはご法度。スケールが大きく楽天的で目標が決まると、突進しますが細部にまで目がゆき届かない面があるので、緻密な金銭感覚に長けた人物と交流すれば、地位やお金を得ることができます。,コンディションが低下すると、右脇をはじめいろいろな箇所に痛みが生じます。基本的に病気とは無縁ですが、お酒の飲みすぎに気を付けて。何事もやりすぎるタイプなので肝機能障害・胃けいれん、などにも注意が必要です。他には、筋肉痛・リュウマチ・筋肉や関節に関する場所に故障が出やすい傾向があります。,自由奔放で華やかな魅力を醸し出すあなたは、恋愛に対してもこだわりが少なく、何事にも囚われないスマートな恋愛を望む傾向があります。欲望に忠実で享楽にふける傾向があるので、複数の相手との恋を楽しんだり、何かとトラブルも多いでしょう。それゆえに、一途な愛情を捧げること。興味半分で異性を翻弄したり、相手が振り向いた途端に興味を失って飽きたりでは、不毛な恋愛ばかり繰り返すことになるので注意して。,自分の直感を信じること。備わった情熱と行動力が発揮されると運も味方になるはず。スケールが大きく楽天的で目標が決まると脇目もふらずに突進するので、大きな理想をかかげましょう。そして、細部にまで目を行き届かせて、緻密な解析力や分析力を身につけること。海外など異国の文化と触れ合うことで、豊かなインスピレーションに導かれて運が上昇していくでしょう。,何事も徹底主義でドラスティック,国境や世代を超えて外へ飛び出し,お金に関しても楽観的なあなたは,コンディションが低下すると、右,自由奔放で華やかな魅力を醸し出,自分の直感を信じること。備わっ
8,斗宿,とうしゅく,一見穏やかに見えますが実は頑固。強固な忍耐力を持ち辛抱強い人です。そして、「斗」の字が示すように斗争心と闘争力が旺盛なので、人に弱みを見せる事はありません。プライドが高く、とくに対抗するライバルが出現すると俄然　奮闘力を発揮します。目標達成のために頭脳プレイで人を動かすなど、情に流されることなく冷酷な手段に出ることも。さらに、天から地を見下し、物申す尊大な態度をとる事もあるでしょう。しかし、先を見通すインスピレーションが鋭く、神秘的なものが大好き。また、堅物なイメージに感じられますが、実際には人を引き付けるカリスマ性があり、我慢強くさまざまな苦労をはねのけるパワーを持ち、活動的でエネルギッシュな精神力の持ち主です。,並外れた洞察力と競争心を持ち、物事の本質を見極める知性の持ち主です。社会的な影響を人に与える力と、立ち位置を見極める力が備わっているので組織の中で力を発揮します。タフな精神力と向学心が旺盛な「名誉運」を持つあなたは、教師・公務員・通訳・銀行・証券関係・不動産関係に適性があります。その他に、スポーツ分野・宗教関係も吉。,目的意識が強く現実的なあなたは、用途によって計画的な使いわけや金銭的な余裕を作っておくなどとても堅実。財運に恵まれているあなたですが、一度熱くなると留まるところをしらない闘争心があるので、ギャンブルや投資などには手をださないほうが無難です。また、努力家ですが、意固地な面があるので大胆で豪快な考え方をする人物との交流を。その度胸の良い考えを取り入れると、人脈も広がり金運もダイナミックに上がっていくでしょう。,基本的に丈夫な身体ですが、関節が硬い傾向があり、転んだ弾みの脇の打撲や骨折、特に左脇周辺が注意です。疲れや不摂生によって過食・便秘・下痢などが起こり、ストレスによる胃炎・胃潰瘍・胃腸の病気にも用心が必要です。また、チック症・強迫神経症・神経性の症状が出ることもありそう。,恋愛とは単なる「時間とエネルギーの浪費かも」と考えるあなたは恋愛か仕事、どちらかの選択を問われたら迷わず仕事と答えるタイプです。真面目で用心深く危ない恋には目も触れず、常に堅実な恋愛を選択するので、大失恋の経験は少ないでしょう。孤独に強いタイプで、恋愛より仕事を選びがちなので、フリーの期間が長くても結構平気なはず。ときには理性を取り払い、タガを外すことが大切です。恋愛は怖いものではないということを認識することで、充実した恋愛が成就することでしょう。相手に厳しくしすぎると孤立する危険性があるので注意して。,目標や夢を明確にすること。それには、なりたい未来の自分をイメージしてコラージュを仕上げます。目標や夢を書き入れて、それを声にだしましょう。そうすると、音の波動が振動されあなたの願いは天に届いていくはず。また、さらなる向上を目指し専門的な知識を習得しましょう。そして、夢が叶った輝く未来の姿を、ビジュアル化することで、目標が具現化されていくでしょう。,一見穏やかに見えますが実は頑固,並外れた洞察力と競争心を持ち、,目的意識が強く現実的なあなたは,基本的に丈夫な身体ですが、関節,恋愛とは単なる「時間とエネルギ,目標や夢を明確にすること。それ
